source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
TX,72890487,FALCON HOLDINGS,DTE ENERGY CO,500 #  Ste 300,SOUTHLAKE,TX,76092,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,384.8,2021,pAkSGJ8BVoZSrHrZQCmi
TX,89362394,FALCON HOLDINGS,ILLINOIS HEALTHCARE AND FAMILY SERVICES,1301 SOLANA BLVD,WESTLAKE,TX,76262,ALL OTHER DEPOSITS W/COURT OR PUBL AUTHR,CT05,131.56,2023,x0UbGJ8BBuGJUe8uLjmN
TX,88490175,FALCON HOLDINGS,DTE Energy Company,### E State Hwy ### Ste ###,SOUTHLAKE,TX,76092,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,135.75,2023,9GgaGJ8Bj6Q_lu2XuRHS
TX,89362384,FALCON HOLDINGS,ILLINOIS HEALTHCARE AND FAMILY SERVICES,1301 SOLANA BLVD,WESTLAKE,TX,76262,ALL OTHER DEPOSITS W/COURT OR PUBL AUTHR,CT05,131.56,2023,wUUbGJ8BBuGJUe8uLjmN
TX,89362409,FALCON HOLDINGS,ILLINOIS HEALTHCARE AND FAMILY SERVICES,1301 SOLANA BLVD,WESTLAKE,TX,76262,ALL OTHER DEPOSITS W/COURT OR PUBL AUTHR,CT05,106.19,2023,0kUbGJ8BBuGJUe8uLjmN
TX,72890488,FALCON HOLDINGS,DTE ENERGY CO,500 #  Ste 300,SOUTHLAKE,TX,76092,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,34.58,2021,pQkSGJ8BVoZSrHrZQCmi
TX,97853239,FALCON HOLDINGS,Not Disclosed,1301 SOLANA BLVD,WESTLAKE,TX,76262,Not Disclosed,CT05,92.31,2024,zbUgGJ8BdxBbIqahI1hh
TX,42337666,FANTASTIC HOLDINGS,DIRECTV LLC & SUBS,ATTN BILL BROWNING 3017 OAK RI,CRAWFORD,TX,76638,REFUND OR REBATE DUE,MS11,27.26,2017,Z8sFGJ8Bqu6IKIxAaJJV
TX,57110414,FDEG HOLDINGS,U S Legal Support Inc,Unknown,,,,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,170.45,2019,sjkJGJ8BBuGJUe8u2f99
TX,26590712,FEMTO HOLDINGS,IBC AUSTIN,2108 HASKELL ST A,AUSTIN,TX,78702,CHECKING ACCOUNT,AC01,359.49,2015,zMX7F58Bqu6IKIxAsk6H
TX,8597391,FERTITTA HOLDINGS,SOLIX INC,FERTITTA HOLDINGS LLC,GALVESTON,TX,77551,ACCOUNTS RECEIVABLE CREDIT BALANCE,MS09,650.43,2010,pfLxF58BVoZSrHrZwSDX
TX,57539350,FGMS Holdings,BANCORPSOUTH,,,,,OUTSTND OFFICIAL CHECK OR EXCHANGE ITEM,CK15,100.0,2019,xPsJGJ8BWDpOTxa9_xuB
TX,37194023,FGW HOLDINGS,PLAINS MARKETING LP,,,,00000,NET REVENUE INTEREST,MI01,43.49,2015,OskCGJ8BPFHwP-jRgCGU
TX,12044566,FGW HOLDINGS,PLAINS MARKETING LP,,,,00000,NET REVENUE INTEREST,MI01,60.37,2013,u_PzF58BVoZSrHrZHjNz
TX,12044567,FGW HOLDINGS,PLAINS MARKETING LP,,,,00000,NET REVENUE INTEREST,MI01,56.0,2013,vPPzF58BVoZSrHrZHjNz
