source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
NY,12423082,THOMSON HOLDINGS INC / Additional Owners Exist,BALCOR PENSION INVESTORS VII,3 CMC 5TH FL CHASE METRO TECH,BROOKLYN,,11245,"SHARES OF STOCK, STOCK OVER RECEIPTS, OTHER SHARE DISTRIBUTIONS RESULTING FROM OWNERSHIP",SC08,,2001,5diCFJ8BMOBo_ZuO7dk8
NY,63225511,TLC HOLDINGS INC,OFFICE OF THE STATE COMPTROLLER BUREAU OF STATE ACCT OPER,16305 SWINGLEY RDG RD,CHESTERFIELD,MO,63017,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2016,09-MFJ8BMOBo_ZuOogUO
NY,74994822,TMF HOLDINGS INC,OFFICE OF THE STATE COMPTROLLER,37 SYLVAN PL,VALLEY STREAM,NY,11581,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2019,w9eAFJ8BMOBo_ZuO87N-
NY,65343206,TORBAY HOLDINGS INC,ANTHEM INC,PO BOX 1117,LONG BEACH,NY,11561,OTHER AMTS DUE UNDER POLICY,IN07,,2016,B_-NFJ8BgbHqynegDo42
NY,32336355,TRAILS END HOLDINGS,METLIFE INC,270 MADISON AVE,NEW YORK,NY,10016,DIVIDENDS,SC01,,2007,2VyGFJ8BVoZSrHrZNXMZ
NY,69228632,TRIBOROUGH HOLDINGS  LLC,CONSOLIDATED EDISON CO OF NEW YORK INC,47-45 59 ST PLP,WOODSIDE,NY,11377,UTILITY DEPOSIT,UT01,,2018,yC2OFJ8Bqu6IKIxAAb-5
NY,54040249,TRIMCO HOLDINGS LLC,FIREMANS FUND INSURANCE CO,48 W 37 ST,NEW YORK,NY,10018,INDIVIDUAL POLICY BENEFITS OR CLAIM PAYMENTS,IN01,,2013,sl-KFJ8BVoZSrHrZyrW5
NY,65341364,TRINACRIA HOLDINGS CORP,ANTHEM INC,50 BROAD ST STE 1020,NEW YORK,NY,10004,OTHER AMTS DUE UNDER POLICY,IN07,,2016,F_-NFJ8BgbHqynegDos1
NY,62759727,TRINITY HOLDINGS INC / GREG  OCONNOR,WB STUDIO ENTERPRISES INC,599 BROADWAY  5TH FLOOR,NEW YORK,NY,10012,VENDOR CHECKS,CK13,,2016,KyqMFJ8BPFHwP-jRilm0
NY,48479004,TWENTY ONE HOLDINGS,YAHOO INC,183 PINEHURST AVE 6,NEW YORK,NY,10033,MISC OUTSTANDING CHECKS,MS16,,2012,tPyJFJ8BdxBbIqahZP2K
NY,61562048,TYD HOLDINGS LLC,HEALTH INSURANCE PLAN OF GREATER NEW YORK,16 HIGHFIELD AVENUE,PORT WASHINGTON,NY,11050,OTHER AMTS DUE UNDER POLICY,IN07,,2015,7WCMFJ8BVoZSrHrZT4Ww
NY,48089657,UKP HOLDINGS INC,OXY USA INC,PO BOX 1708,SHELTER ISLAND,NY,11964,VENDOR CHECKS,CK13,,2012,JSeJFJ8BPFHwP-jRVDS5
NY,51840657,UKP HOLDINGS INC,OXY USA INC,PO BOX 1708,SHELTER ISLAND,NY,11964,VENDOR CHECKS,CK13,,2013,aVaKFJ8BWDpOTxa9SJs0
NY,55638349,UKP HOLDINGS INC,OXY USA INC,PO BOX 1708,SHELTER ISLAND,NY,11964,VENDOR CHECKS,CK13,,2014,r7mLFJ8Bj6Q_lu2XEKvr
NY,59963673,UKP HOLDINGS INC,OXY USA INC,PO BOX 1708,SHELTER ISLAND,NY,11964,VENDOR CHECKS,CK13,,2015,VY-LFJ8BBuGJUe8u-k0q
NY,62817571,UKP HOLDINGS INC,OXY USA INC,PO BOX 1708,SHELTER ISLAND,NY,11964,VENDOR CHECKS,CK13,,2016,oSqMFJ8BPFHwP-jRimS3
NY,67463971,UNDERWATER HOLDINGS INC,BONNIER CORPORATION,271 79TH STREET,BROOKLYN,NY,11209,VENDOR CHECKS,CK13,,2017,a2GNFJ8BVoZSrHrZnJLk
NY,52292261,UNIFI HOLDINGS INC,OFFICE OF THE STATE COMPTROLLER,3511 SILVERSIDE RD STE 105,WILMINGTON,DE,19810,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2013,wI6KFJ8BBuGJUe8uZ5a-
NY,28162350,UNITED HOLDINGS LLC,NIAGARA MOHAWK POWER CORP,214   HARRISON ST,JOHNSTOWN,NY,12095,UTILITY DEPOSIT,UT01,,2006,AySFFJ8BPFHwP-jROkmP
NY,36892915,UPPER EAST HOLDINGS,FIRST AMERICAN TITLE INSURANCE CO,80 STATE STREET,ALBANY,NY,12207,ESCROW ACCOUNTS HELD BY REAL ESTATE OR TITLE INSURANCE COMPANIES,TR04,,2009,PJOHFJ8BRez0kkx5LEog
NY,25752376,VANCE HOLDINGS INC,OFFICE OF THE STATE COMPTROLLER,,ST LOUIS,MO,63178,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2004,fVuEFJ8BVoZSrHrZnq4x
NY,47824741,VERMODA HOLDINGS INC,JPMORGAN CHASE BANK NA (111),231 W 39TH ST RM 702,NEW YORK,NY,10018,CHECKING ACCOUNTS,AC01,,2011,R1-JFJ8BVoZSrHrZNiJS
NY,56248872,VERTIS HOLDINGS INC,OFFICE OF THE STATE COMPTROLLER REFUND UNIT,3 E 54TH ST,NEW YORK,NY,10022,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2014,FSuLFJ8Bqu6IKIxAP-Rm
NY,51892720,VF HOLDINGS LLC,PERSHING LLC,32 OLD SLIP,NEW YORK,NY,10005,"SHARES OF STOCK, STOCK OVER RECEIPTS, OTHER SHARE DISTRIBUTIONS RESULTING FROM OWNERSHIP",SC08,,2013,uFaKFJ8BWDpOTxa9SLA6
NY,68879157,VIDI HOLDINGS INC / COLD STONE CREAMERY,UTICA MUTUAL INSURANCE CO,1504 OLD COUNTRY ROAD,WESTBURY,NY,11590,INDIVIDUAL POLICY BENEFITS OR CLAIM PAYMENTS,IN01,,2017,y7yNFJ8Bj6Q_lu2X21m9
NY,40899658,VPT HOLDINGS INC,OFFICE OF THE STATE COMPTROLLER,NEWMAN DECOSTER &* CO,NEW YORK,NY,10038,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2010,GfiIFJ8BdwRK0i0yCpm2
NY,75705125,WAYNESBORO HOLDINGS  LP,COMMONWEALTH OF VIRGINIA,3 MANHATTANVILLE RD,PURCHASE,NY,10577,CHECKS ISSUED BY A US STATE AGENCY,CK06,,2019,fLSBFJ8Bj6Q_lu2XMEEa
NY,63548620,WES HOLDINGS LLC,COSTAR GROUP INC,C/O NORTHSTAR CAPITAL PARTNERS,NEW YORK,NY,10022,"SHARES OF STOCK, STOCK OVER RECEIPTS, OTHER SHARE DISTRIBUTIONS RESULTING FROM OWNERSHIP",SC08,,2016,y5aMFJ8BRez0kkx5sQum
NY,63548622,WES HOLDINGS LLC,COSTAR GROUP INC,C/O NORTHSTAR CAPITAL PARTNERS,NEW YORK,NY,10022,"SHARES OF STOCK, STOCK OVER RECEIPTS, OTHER SHARE DISTRIBUTIONS RESULTING FROM OWNERSHIP",SC08,,2016,zZaMFJ8BRez0kkx5sQum
NY,43973916,WHITE WILLIAMS HOLDINGS,VERIZON SERVICES CORP,41 W 57TH ST,NEW YORK,NY,10065,VENDOR CHECKS,CK13,,2011,AymIFJ8Bqu6IKIxAlvxx
NY,58131587,WINDSTORM HOLDINGS LLC,JPMORGAN CHASE BANK NA (802),390 5TH AVE 2ND FL,NEW YORK,NY,10018,CHECKING ACCOUNTS,AC01,,2014,dP6LFJ8BdxBbIqahnITd
NY,52943951,WINTON CAPITAL HOLDINGS,ROYAL GOLD INC,12 E 49TH ST,NEW YORK,NY,10017,DIVIDENDS,SC01,,2013,i_2KFJ8BgbHqyneghqSQ
NY,44417740,WORLDNET HOLDINGS INC,PRIME MONEY MARKET FUND MORGAN,3 W MAIN ST,ELMSFORD,NY,10523,DIVIDEND REINVESTMENT PLAN,SC19,,2011,tFyIFJ8B9dGTenPivVhA
